TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\157.txt,10,0.11645817756652832
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\158.txt,15,0.1383967399597168
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\159.txt,14,0.14133691787719727
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\160.txt,8,0.08764815330505371
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\161.txt,10,0.1120460033416748
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\162.txt,14,0.1536567211151123
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\163.txt,9,0.12960505485534668
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\164.txt,10,0.1137094497680664
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\165.txt,7,0.12208175659179688
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\166.txt,2,0.1036214828491211
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\167.txt,7,0.1115427017211914
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\168.txt,2,0.10928106307983398
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\169.txt,8,0.11575794219970703
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\170.txt,12,0.16562509536743164
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\171.txt,7,0.11731815338134766
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\172.txt,7,0.11368012428283691
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\173.txt,13,0.1739661693572998
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\174.txt,9,0.12364435195922852
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\175.txt,8,0.12822842597961426
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\176.txt,7,0.12020397186279297
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\177.txt,9,0.13128209114074707
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\178.txt,5,0.1168522834777832
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\179.txt,8,0.1252892017364502
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\180.txt,-1,0.10889172554016113
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\181.txt,5,0.11021709442138672
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\182.txt,3,0.10949993133544922
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\183.txt,1,0.11845111846923828
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\184.txt,-1,0.20161771774291992
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\185.txt,4,0.10804629325866699
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\186.txt,15,0.13755273818969727
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\187.txt,15,0.13100409507751465
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\188.txt,7,0.12598443031311035
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\189.txt,15,0.19726133346557617
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\190.txt,20,0.16776466369628906
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\191.txt,6,0.11313819885253906
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\192.txt,5,0.12006664276123047
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\193.txt,4,0.1174623966217041
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\194.txt,5,0.11783719062805176
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\195.txt,12,0.18131399154663086
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\196.txt,-1,0.15411591529846191
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\197.txt,9,0.13860607147216797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\198.txt,9,0.13999199867248535
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\199.txt,11,0.17030048370361328
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\200.txt,5,0.11653566360473633
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\201.txt,10,0.1508042812347412
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\202.txt,13,0.1667940616607666
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\203.txt,9,0.1349029541015625
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\204.txt,3,0.11002254486083984
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\205.txt,11,0.1913590431213379
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\206.txt,2,0.12007808685302734
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\207.txt,1,0.11289334297180176
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\208.txt,8,0.13185787200927734
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\209.txt,12,0.14745426177978516
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\210.txt,4,0.10874009132385254
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\211.txt,8,0.12557411193847656
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\212.txt,6,0.12048172950744629
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\213.txt,17,0.17905902862548828
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\214.txt,5,0.11431074142456055
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\215.txt,9,0.12817931175231934
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\216.txt,-1,0.15062689781188965
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\217.txt,6,0.12418699264526367
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\218.txt,4,0.11967301368713379
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\219.txt,8,0.1289668083190918
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\220.txt,4,0.1140439510345459
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\221.txt,8,0.11679291725158691
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\222.txt,-1,0.11319661140441895
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\223.txt,10,0.23828721046447754
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\224.txt,16,0.2409524917602539
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\225.txt,6,0.1248319149017334
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\226.txt,12,0.14596033096313477
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\227.txt,6,0.12397599220275879
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\228.txt,6,0.11442232131958008
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\229.txt,11,0.16403579711914062
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\230.txt,14,0.16043925285339355
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\231.txt,12,0.13327240943908691
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\232.txt,-1,0.11729216575622559
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\233.txt,16,0.1550579071044922
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\234.txt,8,0.13818597793579102
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\235.txt,13,0.17939281463623047
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\236.txt,4,0.11361837387084961
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\237.txt,6,0.12201523780822754
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\238.txt,8,0.14425325393676758
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\239.txt,10,0.14612126350402832
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\240.txt,-1,0.14086270332336426
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\241.txt,-1,0.19926071166992188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\242.txt,11,0.13351202011108398
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\243.txt,11,0.15930795669555664
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\244.txt,11,0.15187478065490723
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\245.txt,10,0.13193464279174805
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\246.txt,15,0.18797016143798828
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\247.txt,-1,0.11890673637390137
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\248.txt,4,0.11475944519042969
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\249.txt,12,0.14391303062438965
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\250.txt,16,0.1701984405517578
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\251.txt,15,0.20596003532409668
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\252.txt,1,0.11761879920959473
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\253.txt,11,0.13880109786987305
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\254.txt,4,0.11879205703735352
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\255.txt,-1,0.10689067840576172
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\256.txt,8,0.13653898239135742
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\257.txt,-1,0.11361074447631836
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\258.txt,4,0.12096476554870605
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\259.txt,9,0.14238977432250977
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\260.txt,7,0.12145447731018066
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\261.txt,8,0.12762999534606934
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\262.txt,2,0.11434221267700195
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\263.txt,4,0.11038088798522949
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\264.txt,16,0.16580438613891602
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\265.txt,3,0.1269216537475586
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\266.txt,9,0.18766427040100098
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\267.txt,16,0.20934629440307617
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\268.txt,8,0.18172955513000488
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\269.txt,9,0.16145086288452148
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\270.txt,5,0.12144303321838379
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\271.txt,6,0.12547802925109863
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\272.txt,7,0.13338255882263184
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\273.txt,2,0.12208843231201172
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\274.txt,9,0.23191070556640625
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\275.txt,5,0.13122940063476562
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\276.txt,-1,0.14838218688964844
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\277.txt,12,0.24564194679260254
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\278.txt,2,0.17960238456726074
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\279.txt,6,0.12716150283813477
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\280.txt,7,0.11603713035583496
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\281.txt,9,0.11949396133422852
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\282.txt,6,0.1232907772064209
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\283.txt,2,0.11255836486816406
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\284.txt,14,0.14485764503479004
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\285.txt,2,0.1145026683807373
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\286.txt,9,0.13219022750854492
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\287.txt,-1,0.10942292213439941
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\288.txt,2,0.11499953269958496
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\289.txt,6,0.19136428833007812
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\290.txt,4,0.18503475189208984
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\291.txt,7,0.1978449821472168
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\292.txt,16,0.27382779121398926
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\293.txt,9,0.13486933708190918
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\294.txt,9,0.1617414951324463
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\295.txt,6,0.13146209716796875
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\296.txt,13,0.19848012924194336
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\297.txt,5,0.11554503440856934
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\298.txt,-1,0.11128115653991699
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\299.txt,14,0.17616701126098633
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\300.txt,2,0.12465643882751465
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\301.txt,11,0.16804933547973633
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\302.txt,8,0.19974684715270996
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\303.txt,6,0.14478325843811035
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\304.txt,13,0.16230368614196777
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\305.txt,8,0.12107348442077637
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\306.txt,8,0.11891770362854004
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\307.txt,14,0.1794586181640625
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\308.txt,11,0.1588747501373291
