TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\159.txt,14,0.35608839988708496
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\160.txt,8,0.194840669631958
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\161.txt,10,0.2242121696472168
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\162.txt,14,0.23717188835144043
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\163.txt,9,0.18706226348876953
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\164.txt,4,0.23443198204040527
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\165.txt,7,0.2720458507537842
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\166.txt,2,0.11806964874267578
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\167.txt,7,0.21657776832580566
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\168.txt,2,0.3045210838317871
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\169.txt,8,0.11525559425354004
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\170.txt,12,0.1989736557006836
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\171.txt,7,0.12241005897521973
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\172.txt,7,0.12165021896362305
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\173.txt,13,0.2864859104156494
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\174.txt,9,0.37122082710266113
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\175.txt,8,0.1617724895477295
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\176.txt,7,0.12914443016052246
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\177.txt,9,0.1336536407470703
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\178.txt,5,0.138596773147583
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\179.txt,8,0.22822809219360352
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\180.txt,-1,0.12014007568359375
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\181.txt,5,0.4271886348724365
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\182.txt,3,0.14376544952392578
